name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
8200.290046930313,	1.1929903,	-0.0001278366005908515,	12,	1.1929903,	-0.0006522275540349566,	
8201.089646816254,	1.1889936,	-0.0001302520963908627,	12,	1.1889936,	-0.0006645515121982791,	
8201.889246702194,	1.1850007,	-0.0001327181705071284,	12,	1.1850007,	-0.000677133522995553,	
8202.688946723938,	1.1809713,	-0.0001355848241217747,	12,	1.1809713,	-0.0006917593067437485,	
8203.488546848297,	1.1769924,	-0.0001380226942798582,	12,	1.1769924,	-0.0007041974197951949,	
8204.288146734238,	1.1730161,	-0.000140681633544013,	12,	1.1730161,	-0.0007177634364490458,	
8205.087846755981,	1.1690083,	-0.0001435681432146087,	12,	1.1690083,	-0.0007324905266051463,	
8205.88744688034,	1.1650305,	-0.0001461133242058104,	12,	1.1650305,	-0.000745476143907196,	
8206.687046766281,	1.161013,	-0.0001494199853737709,	12,	1.161013,	-0.0007623468641518923,	
8207.486646652222,	1.1570237,	-0.000152302701818166,	12,	1.1570237,	-0.0007770546011130918,	
8208.28624677658,	1.1530195,	-0.0001554281882123452,	12,	1.1530195,	-0.0007930009602670673,	
8209.085846662521,	1.1490247,	-0.0001587957130596671,	12,	1.1490247,	-0.0008101822094880974,	
8209.88544678688,	1.1450264,	-0.000162085825095032,	12,	1.1450264,	-0.0008269684953828163,	
8210.685046672821,	1.141023,	-0.00016497559016241,	12,	1.141023,	-0.0008417121947061735,	
8211.48464679718,	1.1370238,	-0.0001692874900659138,	12,	1.1370238,	-0.0008637116840097643,	
8212.28424668312,	1.1330339,	-0.00017213195276669,	12,	1.1330339,	-0.0008782242488096427,	
8213.083846569061,	1.1290333,	-0.000176434382833083,	12,	1.1290333,	-0.0009001754226177703,	
8213.88344669342,	1.1250386,	-0.0001797303933510162,	12,	1.1250386,	-0.000916991802811307,	
8214.683046579361,	1.1210507,	-0.0001838440903673389,	12,	1.1210507,	-0.0009379800528945861,	
8215.48264670372,	1.1170657,	-0.0001879583711410174,	12,	1.1170657,	-0.0009589712813317214,	
8216.28224658966,	1.1130581,	-0.0001924338963654004,	12,	1.1130581,	-0.0009818055937010225,	
8217.08184671402,	1.1090579,	-0.0001965220592057661,	12,	1.1090579,	-0.0010026635673763577,	
8217.881546735764,	1.105058,	-0.0002011050712788253,	12,	1.105058,	-0.0010260462820348229,	
8218.681146621704,	1.101041,	-0.0002056372112674287,	12,	1.101041,	-0.0010491694452419832,	
8219.480746507645,	1.0970675,	-0.0002104576042518793,	12,	1.0970675,	-0.001073763286999384,	
8220.280446529388,	1.093055,	-0.0002153708950329329,	12,	1.093055,	-0.0010988310971068004,	
8221.080046653748,	1.0890617,	-0.0002203629548847848,	12,	1.0890617,	-0.001124300790228494,	
8221.879646539688,	1.0850525,	-0.0002259408167538568,	12,	1.0850525,	-0.0011527592691523306,	
8222.679246664047,	1.081066,	-0.000231405238908225,	12,	1.081066,	-0.001180638974021556,	
8223.478846549988,	1.0770556,	-0.0002372860873458653,	12,	1.0770556,	-0.001210643302785027,	
8224.278446435928,	1.0730486,	-0.0002426906051581916,	12,	1.0730486,	-0.0012382173732560795,	
8225.078046560287,	1.0690831,	-0.0002488828891535896,	12,	1.0690831,	-0.0012698106589468857,	
8225.877646446228,	1.0650662,	-0.0002555956387352573,	12,	1.0650662,	-0.001304059381302333,	
8226.677246570587,	1.0610583,	-0.0002619544740126789,	12,	1.0610583,	-0.0013365024184320352,	
8227.476846456528,	1.0570687,	-0.000268747651115018,	12,	1.0570687,	-0.001371161485280704,	
8228.276446580887,	1.053066,	-0.0002760306277424115,	12,	1.053066,	-0.0014083195292980178,	
8229.076046466827,	1.0490677,	-0.0002836957592838249,	12,	1.0490677,	-0.0014474273432848208,	
8229.875646591187,	1.0450667,	-0.000290564520846413,	12,	1.0450667,	-0.00148247204513476,	
8230.675246477127,	1.0410721,	-0.0002987876896092543,	12,	1.0410721,	-0.001524426987802318,	
8231.474846363068,	1.0370688,	-0.0003067442433139244,	12,	1.0370688,	-0.0015650216495608387,	
8232.274446487427,	1.0330731,	-0.0003156094763938868,	12,	1.0330731,	-0.0016102524305810551,	
8233.074046373367,	1.0290716,	-0.0003241664196695429,	12,	1.0290716,	-0.0016539103044364433,	
8233.873646497726,	1.025075,	-0.0003325951804392466,	12,	1.025075,	-0.0016969141859145232,	
8234.67334651947,	1.0210791,	-0.0003429269998477955,	12,	1.0210791,	-0.0017496275502438545,	
8235.47294640541,	1.017072,	-0.0003526390473222452,	12,	1.017072,	-0.001799178812868598,	
8236.272546291351,	1.0130805,	-0.0003627528368000902,	12,	1.0130805,	-0.0018507797795922968,	
8237.072246313095,	1.0090741,	-0.0003736041684322938,	12,	1.0090741,	-0.0019061437164912948,	
8237.871846437454,	1.0050724,	-0.0003846841705908086,	12,	1.0050724,	-0.0019626743397490234,	
8238.671446323395,	1.0010582,	-0.0003964893527971074,	12,	1.0010582,	-0.002022904861209732,	
8239.471046447754,	0.99706805,	-0.0004083586711298027,	12,	0.99706805,	-0.0020834626078051156,	
8240.270646333694,	0.99306422,	-0.0004209895054647587,	12,	0.99306422,	-0.00214790564012632,	
8241.070246458054,	0.9890607,	-0.0004335136626687886,	12,	0.9890607,	-0.0022118044013713705,	
8241.869846343994,	0.98506594,	-0.0004471043491040055,	12,	0.98506594,	-0.002281144638285742,	
8242.669446229935,	0.9810698,	-0.0004612884357678814,	12,	0.9810698,	-0.00235351242738715,	
8243.469046354294,	0.977081,	-0.0004760787536832976,	12,	0.977081,	-0.0024289732330780487,	
8244.268646240234,	0.97309291,	-0.0004913303997450402,	12,	0.97309291,	-0.0025067877538012258,	
8245.068246364594,	0.96909285,	-0.0005061501970522056,	12,	0.96909285,	-0.0025823989645520694,	
8245.867846250534,	0.96510625,	-0.000523117036559639,	12,	0.96510625,	-0.002668964472243056,	
8246.667446374893,	0.9611057,	-0.0005406366695434595,	12,	0.9611057,	-0.0027583503548135684,	
8247.467046260834,	0.95710516,	-0.0005590501363316822,	12,	0.95710516,	-0.002852296613937154,	
8248.266646146774,	0.95310891,	-0.0005779778717913183,	12,	0.95310891,	-0.0029488666928128484,	
8249.066246271133,	0.94909358,	-0.0005974657861327669,	12,	0.94909358,	-0.0030482948272079944,	
8249.865846157074,	0.94510853,	-0.0006183005872758621,	12,	0.94510853,	-0.0031545948330401123,	
8250.665546178818,	0.94111413,	-0.0006397967679418626,	12,	0.94111413,	-0.003264269224193177,	
8251.465146303177,	0.93711478,	-0.000662280167340528,	12,	0.93711478,	-0.003378980445614939,	
8252.264746189117,	0.93311584,	-0.0006861149063438262,	12,	0.93311584,	-0.003500586256856256,	
8253.064446210861,	0.92911214,	-0.0007106962353016361,	12,	0.92911214,	-0.003626001200518551,	
8253.864046096802,	0.9251076,	-0.0007375135526686456,	12,	0.9251076,	-0.003762824248309416,	
8254.66364622116,	0.9211061,	-0.0007647312650921998,	12,	0.9211061,	-0.003901690128021427,	
8255.463246107101,	0.91713274,	-0.0007927718648177134,	12,	0.91713274,	-0.004044754412335272,	
8256.26284623146,	0.91313279,	-0.0008239623584839397,	12,	0.91313279,	-0.004203889584101733,	
8257.062446117401,	0.90913641,	-0.000856664316402047,	12,	0.90913641,	-0.004370736308173709,	
8257.86204624176,	0.90512824,	-0.0008917297492610395,	12,	0.90512824,	-0.004549641577862446,	
8258.6616461277,	0.90113246,	-0.0009274603426785676,	12,	0.90113246,	-0.004731940523870243,	
8259.461246013641,	0.8971386,	-0.0009670831844229427,	12,	0.8971386,	-0.004934097879708891,	
8260.260846138,	0.89313322,	-0.001007932580294844,	12,	0.89313322,	-0.0051425131647696125,	
8261.060446023941,	0.88913083,	-0.001052132100628931,	12,	0.88913083,	-0.0053680209215761785,	
8261.8600461483,	0.88515192,	-0.001099285105676648,	12,	0.88515192,	-0.005608597477942082,	
8262.65964603424,	0.88114607,	-0.001151011414584374,	12,	0.88114607,	-0.005872507217267214,	
8263.4592461586,	0.87715405,	-0.001205672044398053,	12,	0.87715405,	-0.006151387981622719,	
8264.25884604454,	0.87314576,	-0.001264831534514109,	12,	0.87314576,	-0.006453222114867903,	
8265.0584461689,	0.86915118,	-0.001326959611441178,	12,	0.86915118,	-0.006770202099189684,	
8265.85804605484,	0.86516809,	-0.001395542755646388,	12,	0.86516809,	-0.007120116100236673,	
8266.657746076584,	0.86116183,	-0.001470574960279341,	12,	0.86116183,	-0.007502933470812964,	
8267.457345962524,	0.85716689,	-0.001550836671316544,	12,	0.85716689,	-0.007912431996512979,	
8268.256946086884,	0.85316122,	-0.001638311670855788,	12,	0.85316122,	-0.008358733014570347,	
8269.056646108627,	0.84917134,	-0.001733272485183155,	12,	0.84917134,	-0.008843226965220179,	
8269.856245994568,	0.84518093,	-0.001837535933864376,	12,	0.84518093,	-0.009375183336042734,	
8270.655845880508,	0.8411628,	-0.001951976401781901,	12,	0.8411628,	-0.009959063274397453,	
8271.455446004868,	0.83718389,	-0.002074627146749157,	12,	0.83718389,	-0.01058483238137325,	
8272.255045890808,	0.83319229,	-0.002209408231337945,	12,	0.83319229,	-0.011272490976214003,	
8273.054646015167,	0.82917899,	-0.002359146014337187,	12,	0.82917899,	-0.012036459256822382,	
8273.854245901108,	0.82518268,	-0.002519248815599125,	12,	0.82518268,	-0.012853310283669005,	
8274.653846025467,	0.8211838,	-0.002694095841922997,	12,	0.8211838,	-0.01374538694858672,	
8275.453445911407,	0.81717151,	-0.002883903365439533,	12,	0.81717151,	-0.014713792680813943,	
8276.253045797348,	0.81316596,	-0.00308677928309134,	12,	0.81316596,	-0.015748873893323162,	
8277.052645921707,	0.80916864,	-0.003303311768723381,	12,	0.80916864,	-0.016853631473078473,	
8277.852245807648,	0.80516851,	-0.003531875896603698,	12,	0.80516851,	-0.018019774982671925,	
8278.651845932007,	0.80118531,	-0.003769427975632645,	12,	0.80118531,	-0.01923177538588084,	
8279.451445817947,	0.79718101,	-0.004014277503376698,	12,	0.79718101,	-0.020481007670289274,	
8280.251045942307,	0.79319465,	-0.004259785155412798,	12,	0.79319465,	-0.02173359773169795,	
8281.050645828247,	0.78918809,	-0.00450180152474499,	12,	0.78918809,	-0.02296837512624995,	
8281.850245952606,	0.78518873,	-0.004732415071772474,	12,	0.78518873,	-0.024144974855982007,	
8282.649845838547,	0.78119379,	-0.004940377916068335,	12,	0.78119379,	-0.02520600977585885,	
8283.44954586029,	0.77718705,	-0.005122107847216721,	12,	0.77718705,	-0.026133203302126127,	
8284.249145746231,	0.77317965,	-0.005261612556259423,	12,	0.77317965,	-0.02684496202173175,	
8285.048845767975,	0.76919389,	-0.005353485929155521,	12,	0.76919389,	-0.027313703720181225,	
8285.848445892334,	0.76520789,	-0.005388393549986249,	12,	0.76520789,	-0.027491803826460454,	
8286.648045778275,	0.76122177,	-0.005366723848990479,	12,	0.76122177,	-0.02738124412750244,	
8287.447645664215,	0.75722742,	-0.005286950909048876,	12,	0.75722742,	-0.026974239331882015,	
8288.247245788574,	0.75322127,	-0.005153581455022295,	12,	0.75322127,	-0.02629378293378722,	
8289.046845674515,	0.74921256,	-0.004969506397838233,	12,	0.74921256,	-0.025354624478766494,	
8289.846445798874,	0.74522322,	-0.004742372432002748,	12,	0.74522322,	-0.024195777714299732,	
8290.646045684814,	0.74120688,	-0.004486042642172942,	12,	0.74120688,	-0.022887972664147663,	
8291.445645809174,	0.7372216,	-0.004206824475776673,	12,	0.7372216,	-0.021463390182534046,	
8292.245245695114,	0.73322076,	-0.003916990819166313,	12,	0.73322076,	-0.019984647036562823,	
8293.044845819473,	0.72921389,	-0.003626495958010623,	12,	0.72921389,	-0.018502530398013382,	
8293.844445705414,	0.72520751,	-0.003342958061038154,	12,	0.72520751,	-0.01705590847468446,	
8294.644045591354,	0.72120732,	-0.003070760425477256,	12,	0.72120732,	-0.01566714502794518,	
8295.443645715714,	0.71723223,	-0.002813755725129857,	12,	0.71723223,	-0.014355896556784984,	
8296.243245601654,	0.71324122,	-0.002574481834155998,	12,	0.71324122,	-0.013135111398755093,	
8297.042845726013,	0.70924449,	-0.002356074969501856,	12,	0.70924449,	-0.012020790660723755,	
8297.842445611954,	0.70524943,	-0.00215768809205159,	12,	0.70524943,	-0.011008612714548928,	
8298.642045736313,	0.70125204,	-0.001978857264713016,	12,	0.70125204,	-0.010096210534250081,	
8299.441745519638,	0.69725019,	-0.001816723537704068,	12,	0.69725019,	-0.009268997641347285,	
8300.241345643997,	0.69325876,	-0.001671915385048021,	12,	0.69325876,	-0.008530180535959291,	
8301.040945529938,	0.68926084,	-0.001542760957535586,	12,	0.68926084,	-0.007871229375181562,	
8301.840645551682,	0.68525106,	-0.001427064459123582,	12,	0.68525106,	-0.007280941117977459,	
8302.64024567604,	0.68124384,	-0.001323995888519649,	12,	0.68124384,	-0.00675508106387576,	
8303.439845561981,	0.67724681,	-0.001231987346709863,	12,	0.67724681,	-0.006285649728111546,	
8304.23944568634,	0.67323691,	-0.001150029794497399,	12,	0.67323691,	-0.005867498951517341,	
8305.03904557228,	0.66925532,	-0.001076481736040958,	12,	0.66925532,	-0.00549225375531101,	
8305.838645458221,	0.66523856,	-0.001011167749594174,	12,	0.66523856,	-0.0051590191305825196,	
8306.63824558258,	0.66127485,	-0.0009516018562429306,	12,	0.66127485,	-0.0048551115114435234,	
8307.437845468521,	0.65727389,	-0.000899346385943512,	12,	0.65727389,	-0.004588501969099551,	
8308.23744559288,	0.65329278,	-0.0008517771893234421,	12,	0.65329278,	-0.004345801986344092,	
8309.03704547882,	0.64927775,	-0.0008093963712186231,	12,	0.64927775,	-0.004129573322543995,	
8309.83664560318,	0.64528257,	-0.0007704613889248438,	12,	0.64528257,	-0.003930925453698182,	
8310.63624548912,	0.6412859,	-0.0007355547226802041,	12,	0.6412859,	-0.0037528302177561434,	
8311.435845375061,	0.63727468,	-0.0007032810617359497,	12,	0.63727468,	-0.003588168682326274,	
8312.23544549942,	0.63328403,	-0.0006739708682439796,	12,	0.63328403,	-0.003438626878795814,	
8313.03504538536,	0.62928998,	-0.0006471675620578531,	12,	0.62928998,	-0.0033018753166216995,	
8313.83464550972,	0.62527817,	-0.0006227771641349258,	12,	0.62527817,	-0.0031774345108924787,	
8314.63424539566,	0.6212734,	-0.0005996191847270089,	12,	0.6212734,	-0.003059281554729637,	
8315.433945417404,	0.61728776,	-0.0005787369862308833,	12,	0.61728776,	-0.0029527397256677718,	
8316.233545541763,	0.61328202,	-0.0005591741781934296,	12,	0.61328202,	-0.0028529294805787224,	
8317.033145427704,	0.60928726,	-0.0005404815797892615,	12,	0.60928726,	-0.0027575590805574567,	
8317.832845449448,	0.60528576,	-0.00052393211873435,	12,	0.60528576,	-0.002673123054767092,	
8318.632445335388,	0.60128212,	-0.0005079402899848141,	12,	0.60128212,	-0.0025915320917592553,	
8319.432045459747,	0.59729129,	-0.0004933586882496076,	12,	0.59729129,	-0.0025171361645388145,	
8320.231645345688,	0.59328157,	-0.0004793087223202335,	12,	0.59328157,	-0.0024454526648991504,	
8321.031245470047,	0.58929884,	-0.0004660480893009331,	12,	0.58929884,	-0.0023777963739843528,	
8321.830845355988,	0.58528727,	-0.0004538783329658064,	12,	0.58528727,	-0.0023157057804377877,	
8322.630445241928,	0.58129334,	-0.0004422451596460777,	12,	0.58129334,	-0.002256352855337131,	
8323.430045366287,	0.57729614,	-0.0004313138185355979,	12,	0.57729614,	-0.0022005807068142752,	
8324.229645252228,	0.57331842,	-0.0004211865915158632,	12,	0.57331842,	-0.0021489111812033833,	
8325.029245376587,	0.56931841,	-0.0004112274337050424,	12,	0.56931841,	-0.0020980991515563386,	
8325.828845262527,	0.56530273,	-0.0004019465287977003,	12,	0.56530273,	-0.0020507475959066343,	
8326.628445386887,	0.56133252,	-0.0003929524118049434,	12,	0.56133252,	-0.0020048592439027724,	
8327.428045272827,	0.55733335,	-0.0003846949801296086,	12,	0.55733335,	-0.0019627294904571864,	
8328.227645397186,	0.55332631,	-0.0003768041989483757,	12,	0.55332631,	-0.0019224704027978351,	
8329.027245283127,	0.5493328,	-0.0003688893598772435,	12,	0.5493328,	-0.0018820885708022627,	
8329.826845169067,	0.54532588,	-0.0003618193579725745,	12,	0.54532588,	-0.001846017132513135,	
8330.626445293427,	0.54133165,	-0.0003546936110626359,	12,	0.54133165,	-0.0018096612809318155,	
8331.42614531517,	0.53734076,	-0.0003479702316503716,	12,	0.53734076,	-0.0017753583247467938,	
8332.22574520111,	0.53334308,	-0.0003410649177476846,	12,	0.53334308,	-0.001740127131365738,	
8333.02534532547,	0.52933472,	-0.0003350538393381598,	12,	0.52933472,	-0.0017094583639702032,	
8333.825045108795,	0.52535057,	-0.0003291278060151906,	12,	0.52535057,	-0.001679223500077503,	
8334.624645233154,	0.52134442,	-0.0003236595963050098,	12,	0.52134442,	-0.0016513244709439273,	
8335.424245119095,	0.51734424,	-0.0003178445018892978,	12,	0.51734424,	-0.0016216556218841725,	
8336.223845243454,	0.51334697,	-0.0003128885786775268,	12,	0.51334697,	-0.0015963702993751366,	
8337.023445129395,	0.50934827,	-0.0003074150941913957,	12,	0.50934827,	-0.0015684443581193658,	
8337.823045253754,	0.50536239,	-0.0003029191620897097,	12,	0.50536239,	-0.001545505929029131,	
8338.622645139694,	0.50136334,	-0.0002979941838702257,	12,	0.50136334,	-0.0015203784891338044,	
8339.422245264053,	0.49738252,	-0.0002939944423477839,	12,	0.49738252,	-0.0014999716446315505,	
8340.221845149994,	0.49337155,	-0.0002896123863407219,	12,	0.49337155,	-0.0014776142160240913,	
8341.021445035934,	0.48938397,	-0.0002859989806419478,	12,	0.48938397,	-0.0014591784726629988,	
8341.821045160294,	0.48537663,	-0.0002822166780998545,	12,	0.48537663,	-0.0014398810107135432,	
8342.620645046234,	0.48137626,	-0.0002785747949765958,	12,	0.48137626,	-0.0014212999743703867,	
8343.420245170593,	0.47738025,	-0.0002753232255233539,	12,	0.47738025,	-0.001404710334302826,	
8344.219845056534,	0.47339499,	-0.0002725514903293073,	12,	0.47339499,	-0.0013905688282107515,	
8345.019445180893,	0.46937799,	-0.0002698524616345883,	12,	0.46937799,	-0.0013767982736458586,	
8345.819045066833,	0.46538967,	-0.0002672225032070517,	12,	0.46538967,	-0.001363380118403325,	
8346.618644952774,	0.46138903,	-0.0002648619616600328,	12,	0.46138903,	-0.0013513365390818,	
8347.418245077133,	0.45739585,	-0.0002626491555476245,	12,	0.45739585,	-0.001340046711977676,	
8348.217844963074,	0.45340657,	-0.0002609915153099396,	12,	0.45340657,	-0.0013315893638262224,	
8349.017544984818,	0.44942382,	-0.0002594546305999682,	12,	0.44942382,	-0.0013237481153059601,	
8349.817145109177,	0.44539821,	-0.0002587040095767151,	12,	0.44539821,	-0.00131991841620773,	
8350.616744995117,	0.44141033,	-0.0002579470767395346,	12,	0.44141033,	-0.0013160565139772173,	
8351.416445016861,	0.43740493,	-0.0002572409195659006,	12,	0.43740493,	-0.0013124536712545948,	
8352.216044902802,	0.43340334,	-0.0002571187168960488,	12,	0.43340334,	-0.0013118301882451468,	
8353.01564502716,	0.42940897,	-0.0002571483140663454,	12,	0.42940897,	-0.001311981194216048,	
8353.815244913101,	0.42541647,	-0.0002571071382077597,	12,	0.42541647,	-0.0013117711133048965,	
8354.61484503746,	0.42142412,	-0.0002584179954496901,	12,	0.42142412,	-0.0013184591604576026,	
8355.4144449234,	0.41741624,	-0.0002591206564440017,	12,	0.41741624,	-0.0013220441655306208,	
8356.21404504776,	0.41341361,	-0.0002602996829703663,	12,	0.41341361,	-0.0013280596069916648,	
8357.0136449337,	0.40941685,	-0.0002625788928259368,	12,	0.40941685,	-0.0013396882287037592,	
8357.813244819641,	0.4054195,	-0.0002636062496590803,	12,	0.4054195,	-0.0013449298451993891,	
8358.612844944,	0.40141287,	-0.0002663018606899091,	12,	0.40141287,	-0.0013586829627036177,	
8359.41244482994,	0.3973977,	-0.0002690960499643538,	12,	0.3973977,	-0.0013729390304303764,	
8360.2120449543,	0.39339659,	-0.0002723780657771181,	12,	0.39339659,	-0.001389684009066929,	
8361.01164484024,	0.38940179,	-0.0002762271307303081,	12,	0.38940179,	-0.0014093220955627966,	
8361.8112449646,	0.38540882,	-0.0002802247413710812,	12,	0.38540882,	-0.001429718068219802,	
8362.61084485054,	0.38139877,	-0.0002856228044321551,	12,	0.38139877,	-0.0014572592062865055,	
8363.4104449749,	0.3774091,	-0.0002904205759864307,	12,	0.3774091,	-0.00148173763258383,	
8364.21004486084,	0.37341502,	-0.0002969326145174297,	12,	0.37341502,	-0.001514962318966478,	
8365.009744882584,	0.36943597,	-0.0003043667610469316,	12,	0.36943597,	-0.001552891637994549,	
8365.809344768524,	0.36542866,	-0.0003117533576588783,	12,	0.36542866,	-0.0015905783554024404,	
8366.608944892883,	0.36142662,	-0.0003203097128209504,	12,	0.36142662,	-0.0016342332286783182,	
8367.408644914627,	0.35743654,	-0.0003289264181228968,	12,	0.35743654,	-0.0016781960108311063,	
8368.208244800568,	0.35347834,	-0.0003397933971153221,	12,	0.35347834,	-0.0017336397812006228,	
8369.007844686508,	0.34947485,	-0.0003515727182611663,	12,	0.34947485,	-0.0017937383584753382,	
8369.807444810867,	0.34550536,	-0.000364499293869865,	12,	0.34550536,	-0.0018596902748462497,	
8370.607044696808,	0.3414956,	-0.0003788042802306856,	12,	0.3414956,	-0.001932674899136151,	
8371.406644821167,	0.33750919,	-0.000394041198947293,	12,	0.33750919,	-0.0020104142803433317,	
8372.206244707108,	0.3335087,	-0.0004126236746534121,	12,	0.3335087,	-0.0021052228298643473,	
8373.005844831467,	0.32950574,	-0.0004316660004552047,	12,	0.32950574,	-0.0022023775533428812,	
8373.805444717407,	0.32550845,	-0.0004529818954934605,	12,	0.32550845,	-0.0023111321198645944,	
8374.605044841766,	0.32149714,	-0.0004782148028111607,	12,	0.32149714,	-0.002439871442914085,	
8375.404644727707,	0.31749007,	-0.000506731146009195,	12,	0.31749007,	-0.0025853629898428317,	
8376.204244613647,	0.313476,	-0.0005397393974923186,	12,	0.313476,	-0.0027537724361852986,	
8377.003844738007,	0.30946189,	-0.0005759742393347022,	12,	0.30946189,	-0.0029386440782382763,	
8377.803444623947,	0.30544314,	-0.0006188286953184923,	12,	0.30544314,	-0.003157289261829042,	
8378.603044748306,	0.30147213,	-0.0006696963498707478,	12,	0.30147213,	-0.003416818111585448,	
8379.402644634247,	0.29745981,	-0.0007318384452982031,	12,	0.29745981,	-0.003733869618868383,	
8380.202244758606,	0.29345965,	-0.000805582149096107,	12,	0.29345965,	-0.004110113005592383,	
8381.001944541931,	0.28943005,	-0.0008878934180005446,	12,	0.28943005,	-0.004530068459186452,	
8381.80154466629,	0.28543645,	-0.0009811720973792997,	12,	0.28543645,	-0.005005980088669896,	
8382.60114455223,	0.28142047,	-0.001080126744766116,	12,	0.28142047,	-0.0055108507386026325,	
8383.400844573975,	0.27742606,	-0.001172231726661073,	12,	0.27742606,	-0.00598077411561772,	
8384.200444698334,	0.27344245,	-0.001263301740578423,	12,	0.27344245,	-0.006445417043767464,	
8385.000044584274,	0.26943365,	-0.001331169133621612,	12,	0.26943365,	-0.006791679253171489,	
8385.799644470215,	0.2654174,	-0.001370885812855729,	12,	0.2654174,	-0.006994315371712903,	
8386.599244594574,	0.26143581,	-0.001378766075346774,	12,	0.26143581,	-0.007034520792585581,	
8387.398844480515,	0.25744331,	-0.001368576477880419,	12,	0.25744331,	-0.006982533050410301,	
8388.198444604874,	0.25344801,	-0.001333020529058898,	12,	0.25344801,	-0.006801125148259683,	
8388.998044490814,	0.24947134,	-0.001299093732651101,	12,	0.24947134,	-0.0066280292482199035,	
8389.797644615173,	0.24548401,	-0.001253867547077301,	12,	0.24548401,	-0.006397283403455617,	
8390.597244501114,	0.24146973,	-0.001213481276396214,	12,	0.24146973,	-0.0061912310020215,	
8391.396844625473,	0.237469,	-0.001164850080972717,	12,	0.237469,	-0.005943112658024066,	
8392.196444511414,	0.23347454,	-0.001124773168195592,	12,	0.23347454,	-0.005738638613242816,	
8392.996044397354,	0.22948228,	-0.001087687714076295,	12,	0.22948228,	-0.005549427112634158,	
8393.795644521713,	0.22548436,	-0.00105596278303593,	12,	0.22548436,	-0.005387565219571072,	
8394.595244407654,	0.22148554,	-0.001027885267090817,	12,	0.22148554,	-0.0052443125871980455,	
8395.394844532013,	0.21749134,	-0.001006678408776256,	12,	0.21749134,	-0.005136114330491101,	
8396.194444417953,	0.21349701,	-0.0009857334298952088,	12,	0.21349701,	-0.005029252193342901,	
8396.994144439697,	0.20950289,	-0.0009760354023158543,	12,	0.20950289,	-0.004979772460795175,	
8397.793744325638,	0.20548718,	-0.0009677751709014047,	12,	0.20548718,	-0.004937628422966351,	
8398.593344449997,	0.201491,	-0.000967850648774601,	12,	0.201491,	-0.004938013514156127,	
8399.392944335938,	0.19751759,	-0.0009700253454472951,	12,	0.19751759,	-0.004949108905343343,	
8400.192644357681,	0.19350882,	-0.0009808916237298388,	12,	0.19350882,	-0.005004549100662443,	
8400.99224448204,	0.18949522,	-0.0009970158885143701,	12,	0.18949522,	-0.005086815757726378,	
8401.791844367981,	0.18549424,	-0.001016876554057912,	12,	0.18549424,	-0.005188145683968939,	
8402.59144449234,	0.18149826,	-0.001040438693354691,	12,	0.18149826,	-0.005308360680381077,	
8403.39104437828,	0.17748731,	-0.001071005929970221,	12,	0.17748731,	-0.005464315969235821,	
8404.190644264221,	0.17349382,	-0.001105289429221229,	12,	0.17349382,	-0.005639231781740964,	
8404.99024438858,	0.16949691,	-0.001143346984888974,	12,	0.16949691,	-0.005833402984127418,	
8405.78984427452,	0.16548835,	-0.001187739204080237,	12,	0.16548835,	-0.006059893898368556,	
8406.58944439888,	0.16148838,	-0.001235403136831339,	12,	0.16148838,	-0.006303077228731321,	
8407.38904428482,	0.15749063,	-0.001296562632279329,	12,	0.15749063,	-0.006615115470812903,	
8408.18864440918,	0.15347351,	-0.001369590355413848,	12,	0.15347351,	-0.0069877058949686125,	
8408.98824429512,	0.14950232,	-0.001458661094250684,	12,	0.14950232,	-0.00744214844005451,	
8409.78784418106,	0.14549193,	-0.001575602625923211,	12,	0.14549193,	-0.008038788907771485,	
8410.58744430542,	0.14151074,	-0.001715090786154245,	12,	0.14151074,	-0.008750463194664515,	
8411.38704419136,	0.13748889,	-0.001871691264775058,	12,	0.13748889,	-0.009549445228444173,	
8412.18664431572,	0.13350122,	-0.00200666461217815,	12,	0.13350122,	-0.01023808475601097,	
8412.98624420166,	0.12949984,	-0.002115749731888343,	12,	0.12949984,	-0.01079464148922624,	
8413.785944223404,	0.12550294,	-0.002161707777425404,	12,	0.12550294,	-0.011029121313394919,	
8414.585544347763,	0.12150309,	-0.002147689029359846,	12,	0.12150309,	-0.010957597088570643,	
8415.385144233704,	0.11750952,	-0.002092059949945053,	12,	0.11750952,	-0.010673775254821698,	
8416.184844255447,	0.11351464,	-0.002038626168613729,	12,	0.11351464,	-0.010401153921498617,	
8416.984444141388,	0.10950842,	-0.001970615509861374,	12,	0.10950842,	-0.010054160764598846,	
8417.784044265747,	0.10552469,	-0.001915449922970783,	12,	0.10552469,	-0.009772703688626443,	
8418.583644151688,	0.10152938,	-0.001859843359236271,	12,	0.10152938,	-0.0094889967307973,	
8419.383244276047,	0.097549476,	-0.001827338163051272,	12,	0.097549476,	-0.009323153893118734,	
8420.182844161987,	0.093543187,	-0.001799706442230035,	12,	0.093543187,	-0.009182175725663443,	
