name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
7253.671658277512,	0.051107354,	-0.001114115392661187,	11,	0.051107354,	-0.005684262207455035,	
7254.671658277512,	0.051172342,	-0.001113639331923332,	11,	0.051172342,	-0.005681833326139449,	
7255.671658277512,	0.051134065,	-0.001116306449566038,	11,	0.051134065,	-0.005695441069214479,	
7256.671658277512,	0.051099669,	-0.001116733083385044,	11,	0.051099669,	-0.005697617772372674,	
7257.671658277512,	0.051122651,	-0.00111411839730572,	11,	0.051122651,	-0.005684277537274082,	
7258.671658277512,	0.051172342,	-0.001111407429235987,	11,	0.051172342,	-0.005670446067530546,	
7259.671658277512,	0.051237259,	-0.001112780081131495,	11,	0.051237259,	-0.005677449393528036,	
7260.671658277512,	0.051157046,	-0.0011128650639439,	11,	0.051157046,	-0.005677882979305613,	
7261.671658277512,	0.051153168,	-0.00111500708363019,	11,	0.051153168,	-0.005688811651174438,	
7262.671658277512,	0.051126454,	-0.001111965252086521,	11,	0.051126454,	-0.00567329210248225,	
7263.671658277512,	0.051160853,	-0.001114511878043414,	11,	0.051160853,	-0.005686285092058234,	
7264.671658277512,	0.051164657,	-0.001112853525904939,	11,	0.051164657,	-0.005677824111759893,	
7265.671658039093,	0.051130261,	-0.001115924909431487,	11,	0.051130261,	-0.005693494435874934,	
7266.671658039093,	0.051134065,	-0.001111350581236185,	11,	0.051134065,	-0.005670156026715229,	
7267.671658039093,	0.05114175,	-0.001109891312406399,	11,	0.05114175,	-0.005662710777583668,	
7268.671658039093,	0.051153243,	-0.001111545792804102,	11,	0.051153243,	-0.005671152004102561,	
7269.671658039093,	0.051137947,	-0.001106964744091967,	11,	0.051137947,	-0.005647779306591668,	
7270.671658039093,	0.051172342,	-0.001109256021748301,	11,	0.051172342,	-0.005659469498715821,	
7271.671658039093,	0.05114175,	-0.001109304120950403,	11,	0.05114175,	-0.005659714902808179,	
7272.671658039093,	0.051164657,	-0.001109065008955077,	11,	0.051164657,	-0.005658494943648351,	
