name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 7
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
13524.614398002625,	0.051114965,	-0.002326209423830744,	17,	0.051114965,	-0.011868415427707878,	13518.769999980927,	1.131628e-10,	13518.700000047684,	1.337071e-09,	13518.920000076294,	2.268072e-12,	13518.849999904633,	2.306796e-10,	13518.619999885559,	1.852962e-08,	13519.0,	1.027882e-11,	13519.109999895096,	2.552236e-10,	
13524.714397907257,	0.051111158,	-0.002116742081474513,	17,	0.051111158,	-0.010799704497318943,	13519.329999923706,	1.14004e-10,	13519.259999990463,	1.336338e-09,	13519.480000019073,	2.182005e-12,	13519.41000008583,	2.320044e-10,	13519.180000066757,	1.847697e-08,	13519.55999994278,	9.985199e-12,	13519.670000076294,	2.573467e-10,	
13524.814398050308,	0.05108064,	-0.002034017878584572,	17,	0.05108064,	-0.010377642237676387,	13519.900000095367,	1.142325e-10,	13519.819999933243,	1.335633e-09,	13520.049999952316,	2.273211e-12,	13519.97000002861,	2.312238e-10,	13519.75,	1.851946e-08,	13520.119999885559,	1.00503e-11,	13520.240000009537,	2.576387e-10,	
13524.91439795494,	0.051137947,	-0.001973167304880918,	17,	0.051137947,	-0.010067180126943458,	13520.460000038147,	1.145221e-10,	13520.380000114441,	1.338899e-09,	13520.609999895096,	2.258729e-12,	13520.52999997139,	2.315414e-10,	13520.30999994278,	1.851791e-08,	13520.680000066757,	1.004674e-11,	13520.799999952316,	2.584255e-10,	
13525.014397859573,	0.051103547,	-0.001903253713622689,	17,	0.051103547,	-0.009710478130728005,	13521.019999980927,	1.140376e-10,	13520.950000047684,	1.337853e-09,	13521.170000076294,	2.151097e-12,	13521.099999904633,	2.312563e-10,	13520.869999885559,	1.847188e-08,	13521.25,	1.023377e-11,	13521.359999895096,	2.607666e-10,	
13525.114398002625,	0.051099744,	-0.001853402886772527,	17,	0.051099744,	-0.009456137177410852,	13521.58999991417,	1.143616e-10,	13521.509999990463,	1.330904e-09,	13521.730000019073,	2.176367e-12,	13521.66000008583,	2.308503e-10,	13521.44000005722,	1.848064e-08,	13521.80999994278,	1.010765e-11,	13521.920000076294,	2.618143e-10,	
13525.214397907257,	0.05111504,	-0.001802394750760868,	17,	0.05111504,	-0.009195891585514633,	13522.150000095367,	1.13798e-10,	13522.069999933243,	1.333711e-09,	13522.299999952316,	2.328416e-12,	13522.22000002861,	2.312589e-10,	13522.0,	1.847594e-08,	13522.369999885559,	1.011298e-11,	13522.490000009537,	2.64523e-10,	
13525.314398050308,	0.051107354,	-0.001765846407972277,	17,	0.051107354,	-0.009009420448838148,	13522.710000038147,	1.146266e-10,	13522.640000104904,	1.333377e-09,	13522.859999895096,	2.302457e-12,	13522.789999961853,	2.298559e-10,	13522.55999994278,	1.847861e-08,	13522.930000066757,	1.014851e-11,	13523.049999952316,	2.687351e-10,	
13525.41439795494,	0.051122651,	-0.001755767530994493,	17,	0.051122651,	-0.00895799760711476,	13523.269999980927,	1.139557e-10,	13523.200000047684,	1.332794e-09,	13523.420000076294,	2.248233e-12,	13523.349999904633,	2.298597e-10,	13523.119999885559,	1.847989e-08,	13523.5,	1.027422e-11,	13523.609999895096,	2.738349e-10,	
13525.514397859573,	0.051057659,	-0.001698240811005239,	17,	0.051057659,	-0.0086644939337002,	13523.83999991417,	1.141597e-10,	13523.759999990463,	1.335177e-09,	13523.990000009537,	2.255456e-12,	13523.91000008583,	2.306113e-10,	13523.69000005722,	1.851384e-08,	13524.05999994278,	1.019404e-11,	13524.180000066757,	2.774021e-10,	
13525.614398002625,	0.051122651,	-0.00167298672371544,	17,	0.051122651,	-0.00853564654956857,	13524.400000095367,	1.139026e-10,	13524.319999933243,	1.336838e-09,	13524.549999952316,	2.303733e-12,	13524.47000002861,	2.311695e-10,	13524.25,	1.8495e-08,	13524.619999885559,	1.022458e-11,	13524.740000009537,	2.810219e-10,	
13525.714397907257,	0.051126454,	-0.001657775414874781,	17,	0.051126454,	-0.00845803783099378,	13524.960000038147,	1.142234e-10,	13524.890000104904,	1.334626e-09,	13525.109999895096,	2.248593e-12,	13525.02999997139,	2.31449e-10,	13524.80999994278,	1.850034e-08,	13525.180000066757,	1.012203e-11,	13525.299999952316,	2.834974e-10,	
13525.81439781189,	0.05114175,	-0.001624092571437359,	17,	0.05114175,	-0.008286186588966116,	13525.519999980927,	1.13748e-10,	13525.450000047684,	1.328358e-09,	13525.670000076294,	2.211093e-12,	13525.599999904633,	2.309533e-10,	13525.380000114441,	1.848325e-08,	13525.75,	1.004064e-11,	13525.859999895096,	2.840888e-10,	
13525.91439795494,	0.051130261,	-0.001591855153907092,	17,	0.051130261,	-0.008121709968913735,	13526.08999991417,	1.133932e-10,	13526.009999990463,	1.328718e-09,	13526.240000009537,	2.178806e-12,	13526.16000008583,	2.300421e-10,	13525.94000005722,	1.846003e-08,	13526.30999994278,	1.012976e-11,	13526.430000066757,	2.856428e-10,	
13526.014397859573,	0.051103547,	-0.001588112160097806,	17,	0.051103547,	-0.0081026130617235,	13526.650000095367,	1.13258e-10,	13526.579999923706,	1.32968e-09,	13526.799999952316,	2.307886e-12,	13526.72000002861,	2.309679e-10,	13526.5,	1.840087e-08,	13526.869999885559,	1.005148e-11,	13526.990000009537,	2.888376e-10,	
13526.114398002625,	0.051111158,	-0.001570882684085527,	17,	0.051111158,	-0.008014707571864933,	13527.210000038147,	1.144718e-10,	13527.140000104904,	1.3359e-09,	13527.359999895096,	2.242888e-12,	13527.289999961853,	2.301908e-10,	13527.05999994278,	1.848432e-08,	13527.44000005722,	1.020654e-11,	13527.549999952316,	2.870841e-10,	
13526.214397907257,	0.051118843,	-0.001551733886357397,	17,	0.051118843,	-0.007917009624272433,	13527.769999980927,	1.14258e-10,	13527.700000047684,	1.330673e-09,	13527.920000076294,	2.161203e-12,	13527.849999904633,	2.307326e-10,	13527.630000114441,	1.846107e-08,	13528.0,	9.990535e-12,	13528.109999895096,	2.878641e-10,	
13526.31439781189,	0.051099744,	-0.001526771426433697,	17,	0.051099744,	-0.007789650134865801,	13528.33999991417,	1.128777e-10,	13528.259999990463,	1.332079e-09,	13528.490000009537,	2.406274e-12,	13528.41000008583,	2.309372e-10,	13528.19000005722,	1.843178e-08,	13528.55999994278,	9.968512e-12,	13528.680000066757,	2.889522e-10,	
13526.41439795494,	0.051118843,	-0.001520454300800338,	17,	0.051118843,	-0.007757419902042541,	13528.900000095367,	1.143529e-10,	13528.819999933243,	1.330157e-09,	13529.049999952316,	2.278642e-12,	13528.97000002861,	2.31653e-10,	13528.75,	1.851808e-08,	13529.119999885559,	1.000835e-11,	13529.240000009537,	2.891132e-10,	
13526.514397859573,	0.051107354,	-0.001507599210133777,	17,	0.051107354,	-0.007691832704764168,	13529.460000038147,	1.141137e-10,	13529.390000104904,	1.331711e-09,	13529.609999895096,	2.129081e-12,	13529.539999961853,	2.316197e-10,	13529.30999994278,	1.849671e-08,	13529.69000005722,	1.044656e-11,	13529.799999952316,	2.8927e-10,	
13526.614398002625,	0.051092058,	-0.001472396345809104,	17,	0.051092058,	-0.007512226254128081,	13530.02999997139,	1.154833e-10,	13529.950000047684,	1.339898e-09,	13530.170000076294,	2.128878e-12,	13530.099999904633,	2.314002e-10,	13529.880000114441,	1.855425e-08,	13530.25,	1.021037e-11,	13530.359999895096,	2.896915e-10,	
13526.714397907257,	0.051111232,	-0.001487887006020174,	17,	0.051111232,	-0.007591260234796806,	13530.58999991417,	1.132801e-10,	13530.509999990463,	1.334717e-09,	13530.740000009537,	2.257091e-12,	13530.66000008583,	2.297568e-10,	13530.44000005722,	1.848777e-08,	13530.80999994278,	1.017994e-11,	13530.930000066757,	2.894377e-10,	
13526.81439781189,	0.051065344,	-0.001457666914444419,	17,	0.051065344,	-0.007437076094104178,	13531.150000095367,	1.131022e-10,	13531.079999923706,	1.328444e-09,	13531.299999952316,	2.269662e-12,	13531.230000019073,	2.307795e-10,	13531.0,	1.844398e-08,	13531.369999885559,	1.015721e-11,	13531.490000009537,	2.916845e-10,	
13526.91439795494,	0.051149361,	-0.001456208673771473,	17,	0.051149361,	-0.00742963609067078,	13531.710000038147,	1.138645e-10,	13531.640000104904,	1.331901e-09,	13531.859999895096,	2.182487e-12,	13531.789999961853,	2.324318e-10,	13531.55999994278,	1.848779e-08,	13531.94000005722,	1.008481e-11,	13532.049999952316,	2.905194e-10,	
13527.014397859573,	0.051137947,	-0.001424720110138878,	17,	0.051137947,	-0.0072689801537697855,	13532.27999997139,	1.13702e-10,	13532.200000047684,	1.330804e-09,	13532.420000076294,	2.110425e-12,	13532.349999904633,	2.315676e-10,	13532.130000114441,	1.850297e-08,	13532.5,	1.008159e-11,	13532.619999885559,	2.908271e-10,	
13527.114398002625,	0.051183835,	-0.001434914972167462,	17,	0.051183835,	-0.007320994755956439,	13532.83999991417,	1.129475e-10,	13532.759999990463,	1.330359e-09,	13532.990000009537,	2.26729e-12,	13532.91000008583,	2.289199e-10,	13532.69000005722,	1.847872e-08,	13533.05999994278,	1.021114e-11,	13533.180000066757,	2.917024e-10,	
13527.214397907257,	0.051153243,	-0.001426325356820597,	17,	0.051153243,	-0.007277170187860188,	13533.400000095367,	1.13434e-10,	13533.329999923706,	1.330351e-09,	13533.549999952316,	2.24463e-12,	13533.480000019073,	2.302876e-10,	13533.25,	1.847307e-08,	13533.630000114441,	1.014086e-11,	13533.740000009537,	2.908171e-10,	
