ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 11

time/s,	Ewe/V,	<I>/mA,	selector
12280.414397478104,	0.051084448,	-0.0001427344385738252,	0
12280.514397382736,	0.051122651,	-0.0001428878158476436,	0
12280.614397525787,	0.051145557,	-0.0001432010492426346,	0
12280.71439743042,	0.051099744,	-0.000144102618767647,	0
12280.814397335052,	0.051111158,	-0.0001445083525468366,	0
12280.914397478104,	0.051111158,	-0.0001450045013625645,	0
12281.014397382736,	0.051176149,	-0.0001455380364059236,	0
12281.114397525787,	0.051137947,	-0.000145944306335878,	0
12281.21439743042,	0.051130261,	-0.0001463091973128035,	0
12281.314397335052,	0.05118376,	-0.0001463014961773303,	0
12281.414397478104,	0.051103547,	-0.0001469645316246899,	0
12281.514397382736,	0.051111232,	-0.0001475495010818122,	0
12281.614397525787,	0.051118843,	-0.0001471419498120666,	0
12281.71439743042,	0.051053852,	-0.0001480019316513793,	0
12281.814397335052,	0.051149435,	-0.0001481133340421365,	0
12281.914397478104,	0.051088251,	-0.0001488613771944074,	0
12282.014397382736,	0.051160853,	-0.0001486646545963599,	0
12282.114397525787,	0.051153168,	-0.0001491516567621147,	0
12282.21439743042,	0.051130261,	-0.0001494152894592842,	0
12282.314397335052,	0.051107354,	-0.0001498552074481272,	0
12282.414397478104,	0.051149361,	-0.0001494275777949952,	0
12282.514397382736,	0.05114175,	-0.0001498638321936598,	0
12282.614397525787,	0.05114175,	-0.0001501054935797583,	0
12282.71439743042,	0.051118843,	-0.0001502326255140365,	0
12282.814397335052,	0.051122651,	-0.0001507457097322919,	0
12282.914397478104,	0.05107303,	-0.0001507292200549275,	0
12283.014397382736,	0.051114965,	-0.0001505322746961613,	0
12283.114397287369,	0.051130336,	-0.0001507999586465307,	0
12283.21439743042,	0.051137947,	-0.0001510682532243667,	0
12283.314397335052,	0.05103863,	-0.0001512050817837009,	0
12283.414397478104,	0.051130261,	-0.0001513157239824074,	0
12283.514397382736,	0.051111158,	-0.0001515841681975871,	0
12283.614397287369,	0.051164657,	-0.0001517144272947917,	0
12283.71439743042,	0.051172342,	-0.0001515678418654715,	0
