name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
8420.192259788513,	0.073568217,	-0.001938197051559197,	11,	0.073568217,	-0.00988876046713876,	8414.381999969482,	1.158313e-10,	8414.306999921799,	1.398586e-09,	8414.53099989891,	2.25557e-12,	8414.456000089645,	2.383937e-10,	8414.233000040054,	1.942241e-08,	8414.605000019073,	1.048617e-11,	8414.15799999237,	2.59953e-10,	
8420.991859674454,	0.069567792,	-0.002024173968176179,	11,	0.069567792,	-0.010327418204980506,	8414.944999933243,	1.160103e-10,	8414.869999885559,	1.403474e-09,	8415.09400010109,	2.212505e-12,	8415.019000053406,	2.391239e-10,	8414.796000003815,	1.942834e-08,	8415.167999982834,	1.056448e-11,	8414.720999956131,	2.603821e-10,	
8421.791459798813,	0.065572895,	-0.002156825330436693,	11,	0.065572895,	-0.011004210869574964,	8415.506999969482,	1.157923e-10,	8415.433000087738,	1.404802e-09,	8415.65599989891,	2.263136e-12,	8415.582000017166,	2.39335e-10,	8415.358000040054,	1.943792e-08,	8415.730999946594,	1.061418e-11,	8415.283999919891,	2.613559e-10,	
8422.591059684753,	0.061571199,	-0.00235153869880016,	11,	0.061571199,	-0.011997646422449795,	8416.071000099182,	1.142615e-10,	8415.99699997902,	1.402269e-09,	8416.22000002861,	2.231691e-12,	8416.145999908447,	2.387767e-10,	8415.921999931335,	1.942388e-08,	8416.295000076294,	1.05514e-11,	8415.848000049591,	2.601745e-10,	
8423.390659809113,	0.057578538,	-0.002632226127057484,	11,	0.057578538,	-0.013429725138048387,	8416.634000062943,	1.156199e-10,	8416.559000015259,	1.397304e-09,	8416.78299999237,	2.236205e-12,	8416.707999944687,	2.381819e-10,	8416.484999895096,	1.939694e-08,	8416.857000112534,	1.048007e-11,	8416.41000008583,	2.600998e-10,	
8424.190259695053,	0.053564135,	-0.003018855979639974,	11,	0.053564135,	-0.015402326426734562,	8417.196000099182,	1.15367e-10,	8417.12199997902,	1.398237e-09,	8417.34500002861,	2.195141e-12,	8417.270999908447,	2.391604e-10,	8417.046999931335,	1.939356e-08,	8417.420000076294,	1.062264e-11,	8416.973000049591,	2.61185e-10,	
8424.630059719086,	0.051372871,	-0.003296930167113781,	11,	0.051372871,	-0.01682107228119276,	8417.759000062943,	1.146222e-10,	8417.68499994278,	1.39761e-09,	8417.90799999237,	2.351827e-12,	8417.834000110626,	2.386961e-10,	8417.609999895096,	1.939163e-08,	8417.983000040054,	1.053817e-11,	8417.536000013351,	2.615142e-10,	
8424.671659708023,	0.051130336,	-0.003638142254203558,	11,	0.051130336,	-0.018561950276548764,	8418.321000099182,	1.145143e-10,	8418.246000051498,	1.395537e-09,	8418.47000002861,	2.255834e-12,	8418.394999980927,	2.382031e-10,	8418.171999931335,	1.936173e-08,	8418.543999910355,	1.059913e-11,	8418.096999883652,	2.612467e-10,	
8425.671659708023,	0.05108064,	-0.002003814088250511,	11,	0.05108064,	-0.01022354126658424,	8418.884999990463,	1.162547e-10,	8418.80999994278,	1.392104e-09,	8419.033999919891,	2.082956e-12,	8418.959000110626,	2.38764e-10,	8418.736000061035,	1.935837e-08,	8419.108000040054,	1.064864e-11,	8418.661000013351,	2.636829e-10,	
8426.671659708023,	0.051157046,	-0.001633140689996072,	11,	0.051157046,	-0.008332350459163631,	8419.447000026703,	1.157095e-10,	8419.37299990654,	1.398241e-09,	8419.595999956131,	2.284244e-12,	8419.522000074387,	2.386476e-10,	8419.298000097275,	1.940828e-08,	8419.671000003815,	1.067395e-11,	8419.223999977112,	2.65278e-10,	
