ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip.tsv
technique = MS
tstamp = 1636617385.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'M2-x' for: 'M2'
timecol 'M32-x' for: 'M32'
timecol 'M40-x' for: 'M40'
timecol 'time/s' for: 'Ewe/V' and 'cycle number' and 'I/mA'
timecol 'M44-x' for: 'M44'
timecol 'M4-x' for: 'M4'
timecol 'M18-x' for: 'M18'
timecol 'M28-x' for: 'M28'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

M2-x,	M2,	M32-x,	M32,	M40-x,	M40,	time/s,	Ewe/V,	cycle number,	M44-x,	M44,	M4-x,	M4,	M18-x,	M18,	M28-x,	M28,	I/mA
13516.299999952316,	2.530371e-10,	13516.02999997139,	2.308936e-10,	13516.109999895096,	2.263187e-12,	13504.930000066757,	0.1291152,	18.0,	13516.180000066757,	1.01168e-11,	13515.80999994278,	1.846712e-08,	13515.880000114441,	1.329026e-09,	13515.960000038147,	1.148506e-10,	-0.002404215
13516.859999895096,	2.526576e-10,	13516.58999991417,	2.323073e-10,	13516.670000076294,	2.149344e-12,	13505.109999895096,	0.1281984,	18.0,	13516.740000009537,	1.039123e-11,	13516.369999885559,	1.845413e-08,	13516.450000047684,	1.333399e-09,	13516.519999980927,	1.146052e-10,	-0.002143435
13517.420000076294,	2.521993e-10,	13517.16000008583,	2.314111e-10,	13517.230000019073,	2.251455e-12,	13505.299999952316,	0.1272739,	18.0,	13517.30999994278,	1.016619e-11,	13516.930000066757,	1.849677e-08,	13517.009999990463,	1.334864e-09,	13517.079999923706,	1.145019e-10,	-0.00240082
13517.990000009537,	2.529237e-10,	13517.72000002861,	2.313979e-10,	13517.799999952316,	2.235075e-12,	13505.47000002861,	0.1264104,	18.0,	13517.869999885559,	1.031425e-11,	13517.5,	1.849299e-08,	13517.569999933243,	1.336798e-09,	13517.650000095367,	1.128267e-10,	-0.002126647
13518.549999952316,	2.551637e-10,	13518.27999997139,	2.304942e-10,	13518.359999895096,	2.325542e-12,	13505.619999885559,	0.125654,	18.0,	13518.430000066757,	1.024374e-11,	13518.05999994278,	1.847106e-08,	13518.130000114441,	1.332263e-09,	13518.210000038147,	1.144516e-10,	-0.002243398
13519.109999895096,	2.552236e-10,	13518.849999904633,	2.306796e-10,	13518.920000076294,	2.268072e-12,	13505.77999997139,	0.1248861,	18.0,	13519.0,	1.027882e-11,	13518.619999885559,	1.852962e-08,	13518.700000047684,	1.337071e-09,	13518.769999980927,	1.131628e-10,	-0.002421384
13519.670000076294,	2.573467e-10,	13519.41000008583,	2.320044e-10,	13519.480000019073,	2.182005e-12,	13505.960000038147,	0.1239922,	18.0,	13519.55999994278,	9.985199e-12,	13519.180000066757,	1.847697e-08,	13519.259999990463,	1.336338e-09,	13519.329999923706,	1.14004e-10,	-0.001376509
13520.240000009537,	2.576387e-10,	13519.97000002861,	2.312238e-10,	13520.049999952316,	2.273211e-12,	13506.140000104904,	0.1230294,	18.0,	13520.119999885559,	1.00503e-11,	13519.75,	1.851946e-08,	13519.819999933243,	1.335633e-09,	13519.900000095367,	1.142325e-10,	-0.00245454
13520.799999952316,	2.584255e-10,	13520.52999997139,	2.315414e-10,	13520.609999895096,	2.258729e-12,	13506.359999895096,	0.1219139,	18.0,	13520.680000066757,	1.004674e-11,	13520.30999994278,	1.851791e-08,	13520.380000114441,	1.338899e-09,	13520.460000038147,	1.145221e-10,	-0.002384299
13521.359999895096,	2.607666e-10,	13521.099999904633,	2.312563e-10,	13521.170000076294,	2.151097e-12,	13506.539999961853,	0.1210428,	18.0,	13521.25,	1.023377e-11,	13520.869999885559,	1.847188e-08,	13520.950000047684,	1.337853e-09,	13521.019999980927,	1.140376e-10,	-0.002432792
